ingredients,dish
aloo besan bread_crumbs chaat_masala,aloo_tikki
chili ghee methi oil wheat_flour yogurt,methi_paratha
aloo butter cumin kasuri_methi palak,aloo_palak
cumin matar minced_meat onion tomato turmeric,keema_matar
basmati_rice garam_masala ghee yogurt,vegetable_biryani
cumin ghee moong_dal oil,tarka_dal
butter cream cumin onion tomato,tomato_soup
coriander cumin ginger paneer,paneer_bhurji
aloo coriander garlic methi onion,aloo_methi
basmati_rice garam_masala ginger mint saffron yogurt,vegetable_biryani
aloo asafoetida ginger mustard_seeds oil yogurt,dahi_aloo
aloo coriander matar onion turmeric,aloo_matar
bread capsicum chaat_masala cucumber pepper,vegetable_sandwich
amchur bhindi coriander onion,bhindi_masala
cumin garlic ginger lauki tomato,lauki_sabzi
coconut_milk coriander fish mustard_seeds tomato,fish_curry
amchur baingan chili garlic mustard_oil tomato,baingan_bharta
basmati_rice coriander ghee mutton yogurt,mutton_biryani
aloo bhindi chili garlic ginger oil turmeric,aloo_bhindi
aloo amchur matar oil tomato turmeric,aloo_matar
cream garam_masala palak paneer,palak_paneer
aloo bhindi coriander cumin oil onion,aloo_bhindi
butter ginger paneer turmeric,paneer_tikka_masala
butter cumin onion pav pav_bhaji_masala potato,pav_bhaji
chili cumin garlic matar onion paneer,matar_paneer
chicken garam_masala tomato,chicken_curry
butter chicken onion turmeric,butter_chicken
cardamom chicken garam_masala ghee onion,korma
butter capsicum chili egg tomato,omelette
chicken cream tomato turmeric,chicken_tikka_masala
chili garlic mutton oil pepper,mutton_curry
coriander ghee ginger onion toor_dal,dal_tadka
cream cumin garam_masala ginger rajma urad_dal,dal_makhani
chili ghee masoor_dal onion,masoor_dal
chili cumin garlic ghee moong_dal,moong_dal
cumin ginger mutton oil pepper yogurt,mutton_curry
almond cardamom ghee raisin semolina sugar,halwa
basmati_rice garlic ghee ginger pepper potato,vegetable_pulao
cumin oil prawn turmeric,prawn_masala
basmati_rice bay_leaf chicken clove garlic onion yogurt,chicken_pulao
asafoetida ginger moong_dal oil rice,khichdi
capsicum egg pepper rice soy_sauce spring_onion,egg_fried_rice
chili mustard_seeds poha potato,poha
asafoetida capsicum ghee onion semolina,upma
chickpea ginger onion turmeric,chana_masala
coriander cumin egg ginger,anda_bhurji
asafoetida chili garlic ghee oil toor_dal,dal_tadka
ginger maggi_noodles masala pepper tomato turmeric,maggi
cream garam_masala onion paneer tomato,paneer_tikka_masala
aloo bread chaat_masala cumin onion tomato,aloo_sandwich
besan cauliflower chili spinach turmeric,pakora
curry_leaves oil rice urad_dal,dosa
chili curry_leaves fenugreek oil rice urad_dal,idli
aloo besan curry_leaves garlic oil pav,vada_pav
chickpea chili coriander garlic maida onion tomato,chole_bhature
ajwain coriander ghee paneer wheat_flour,paneer_paratha
besan cumin ginger mustard_seeds yogurt,kadhi_pakora
cashew milk pistachio raisin rice saffron sugar,kheer
cardamom ghee khoya maida rose_water sugar,gulab_jamun
fenugreek mustard_seeds oil rice urad_dal,idli
carrot chili coriander cucumber onion yogurt,raita
garlic toor_dal turmeric,dal_fry
amchur asafoetida ginger maida moong_dal oil,kachori
cream cumin onion pepper tomato,tomato_soup
basmati_rice coriander saffron yogurt,biryani
butter cardamom cashew cream garlic paneer,shahi_paneer
aloo garam_masala oil spinach,saag_aloo
aloo coriander garlic ginger onion spinach,saag_aloo
beans carrot coriander oil onion peas turmeric,mixed_vegetable
besan potato turmeric,pakora
cream kasuri_methi mushroom turmeric,mushroom_masala
garam_masala ginger matar minced_meat,keema_matar
capsicum egg turmeric,omelette
cumin egg tomato turmeric,egg_curry
ghee moong_dal mustard_seeds turmeric,tarka_dal
butter cumin garam_masala oil paneer,paneer_bhurji
aloo amchur methi oil onion turmeric,aloo_methi
aloo coriander garlic ghee oil yogurt,dahi_aloo
aloo ginger gobi oil onion turmeric,aloo_gobi
aloo butter garam_masala kasuri_methi palak,aloo_palak
amchur besan bhindi coriander tomato,bhindi_masala
coriander ghee ginger lauki oil turmeric,lauki_sabzi
baingan chili coriander ginger oil,baingan_bharta
cumin ginger kasuri_methi palak paneer,palak_paneer
butter cumin onion paneer tomato,paneer_butter_masala
aloo asafoetida cumin garlic ghee oil yogurt,dahi_aloo
ginger matar oil paneer turmeric,matar_paneer
bay_leaf chicken onion turmeric,chicken_curry
asafoetida cashew mustard_seeds oil peas semolina urad_dal,upma
butter chicken kasuri_methi onion,butter_chicken
butter chicken chili tomato,chicken_tikka_masala
basmati_rice bay_leaf chicken chili ginger mint rice,chicken_biryani
coriander ginger rajma urad_dal,dal_makhani
cumin garlic ginger masoor_dal tomato turmeric,masoor_dal
garam_masala moong_dal oil turmeric,moong_dal
basmati_rice capsicum clove ghee ginger pepper,vegetable_pulao
basmati_rice chicken ghee ginger onion pepper turmeric,chicken_pulao
aloo coriander cream garam_masala palak,aloo_palak
asafoetida garlic ghee moong_dal rice,khichdi
aloo garlic spinach turmeric,saag_aloo
chili_sauce egg ginger oil onion rice soy_sauce,egg_fried_rice
carrot corn garlic rice vinegar,vegetable_fried_rice
mustard_seeds oil poha,poha
garam_masala kasuri_methi rajma tomato urad_dal,dal_makhani
butter coriander egg onion tomato,anda_bhurji
chili corn ginger maggi_noodles masala oil pepper,maggi
cardamom cashew milk rice saffron sugar,kheer
aloo bread cheese cumin tomato,aloo_sandwich
aloo coriander ginger maida matar oil,samosa
curry_leaves fenugreek ghee mustard_seeds oil rice urad_dal,dosa
butter capsicum chili onion pav potato turmeric,pav_bhaji
aloo besan curry_leaves ginger mustard_seeds oil pav,vada_pav
chickpea coriander ginger maida,chole_bhature
ajwain aloo butter coriander wheat_flour,aloo_paratha
aloo besan chili garlic pav turmeric,vada_pav
ajwain onion paneer wheat_flour,paneer_paratha
butter chili garam_masala ginger gobi onion wheat_flour,gobi_paratha
garam_masala garlic moong_dal turmeric,moong_dal
ajwain chili ghee methi oil wheat_flour yogurt,methi_paratha
besan fenugreek_seeds ghee onion turmeric yogurt,kadhi_pakora
cardamom ghee raisin semolina sugar,halwa
cardamom ghee khoya maida saffron sugar,gulab_jamun
chaat_masala cumin onion tomato yogurt,raita
chili garlic oil onion toor_dal,dal_fry
chickpea cumin ghee maida onion tomato,chole_bhature
chickpea cumin garlic ginger tomato,chana_masala
mustard_seeds oil onion poha potato,poha
capsicum cumin egg ginger tomato,anda_bhurji
chili fish oil onion tomato,fish_curry
cumin prawn tomato turmeric,prawn_masala
aloo amchur besan cumin oil,aloo_tikki
besan curry_leaves lemon oil turmeric yogurt,dhokla
basmati_rice bay_leaf chicken cinnamon ghee rice,chicken_biryani
asafoetida cumin ginger maida moong_dal oil,kachori
basmati_rice cumin garlic,biryani
chicken chili garam_masala garlic yogurt,korma
asafoetida ghee moong_dal onion rice turmeric,khichdi
cream garlic onion paneer saffron yogurt,shahi_paneer
beans carrot coriander garlic oil onion peas,mixed_vegetable
chili cream kasuri_methi mushroom oil,mushroom_masala
chili coriander matar minced_meat tomato,keema_matar
besan chili ginger mustard_seeds oil yogurt,kadhi_pakora
cumin egg onion turmeric,egg_curry
basmati_rice clove ghee peas yogurt,vegetable_biryani
asafoetida ghee moong_dal,tarka_dal
cumin garlic onion tomato,tomato_soup
cumin oil paneer,paneer_bhurji
aloo chili cumin methi onion,aloo_methi
aloo butter coriander cumin ginger gobi tomato,aloo_gobi
aloo chili cumin matar tomato,aloo_matar
bhindi cumin onion tomato,bhindi_masala
chili garlic lauki oil tomato,lauki_sabzi
baingan garam_masala mustard_oil tomato turmeric,baingan_bharta
cumin onion palak paneer,palak_paneer
coriander cream garam_masala paneer tomato,paneer_butter_masala
cumin onion paneer,paneer_tikka_masala
cumin garam_masala matar paneer tomato,matar_paneer
bay_leaf butter chicken cumin ginger tomato,chicken_curry
butter cashew chicken cumin turmeric,butter_chicken
butter chicken coriander cream cumin ginger tomato,chicken_tikka_masala
chili garlic mutton oil,mutton_curry
basmati_rice bay_leaf garlic mutton onion,mutton_biryani
asafoetida coriander ghee toor_dal,dal_tadka
ginger masoor_dal onion turmeric,masoor_dal
basmati_rice cumin garlic onion,vegetable_pulao
basmati_rice chicken cumin ginger pepper,chicken_pulao
chickpea chili oil onion tomato,chana_masala
egg oil onion rice soy_sauce,egg_fried_rice
chili_sauce corn rice vinegar,vegetable_fried_rice
chili curry_leaves oil semolina,upma
capsicum coriander egg pepper,omelette
ajwain butter coriander ginger onion paneer wheat_flour,paneer_paratha
butter capsicum coriander garlic ginger pav potato,pav_bhaji
chili garlic maggi_noodles masala oil pepper tomato,maggi
aloo bread butter chaat_masala cheese tomato,aloo_sandwich
bread butter chaat_masala chili,vegetable_sandwich
beans corn rice soy_sauce spring_onion,vegetable_fried_rice
aloo amchur coriander ginger maida matar onion,samosa
besan cauliflower potato spinach turmeric,pakora
butter capsicum coriander pav potato tomato turmeric,pav_bhaji
chili ghee mustard_seeds oil rice urad_dal,dosa
chili curry_leaves fenugreek ghee rice urad_dal,dosa
chili fenugreek oil rice urad_dal,idli
aloo butter garam_masala wheat_flour,aloo_paratha
butter chicken cumin ginger tomato,chicken_tikka_masala
chili garam_masala ghee ginger gobi onion wheat_flour,gobi_paratha
cumin methi oil wheat_flour yogurt,methi_paratha
cardamom ghee milk raisin semolina sugar,halwa
almond cardamom milk raisin rice saffron sugar,kheer
basmati_rice chicken chili cinnamon ginger rice yogurt,chicken_biryani
cardamom khoya maida rose_water sugar,gulab_jamun
chili cucumber cumin yogurt,raita
coriander ginger onion toor_dal,dal_fry
cumin fish ginger turmeric,fish_curry
chili egg ginger onion,anda_bhurji
coconut_milk coriander prawn,prawn_masala
aloo besan bread_crumbs chili coriander ginger oil,aloo_tikki
asafoetida besan lemon yogurt,dhokla
asafoetida cumin maida moong_dal,kachori
basmati_rice bay_leaf cumin mint onion yogurt,biryani
chicken cumin garam_masala yogurt,korma
aloo amchur besan cumin ginger oil onion,aloo_tikki
aloo garam_masala gobi oil onion tomato turmeric,aloo_gobi
butter coriander cream garam_masala onion paneer,shahi_paneer
aloo bhindi coriander cumin ginger onion,aloo_bhindi
beans carrot garam_masala oil onion peas turmeric,mixed_vegetable
butter chili garlic mushroom tomato turmeric,mushroom_masala
coriander garlic ginger mutton oil,mutton_curry
coriander ghee lauki oil tomato,lauki_sabzi
chili ghee matar minced_meat turmeric,keema_matar
egg garam_masala garlic,egg_curry
butter coriander ginger pav potato,pav_bhaji
basmati_rice capsicum cardamom clove ginger mint,vegetable_biryani
chili coriander oil tomato,tomato_soup
chili moong_dal oil tomato turmeric,tarka_dal
chicken cumin ginger oil,chicken_curry
baingan coriander tomato,baingan_bharta
cumin ghee paneer wheat_flour,paneer_paratha
coriander paneer tomato,paneer_bhurji
aloo amchur chili garlic ginger methi,aloo_methi
aloo chili garlic oil turmeric yogurt,dahi_aloo
aloo amchur garlic matar,aloo_matar
bread carrot cheese chili pepper,vegetable_sandwich
aloo chili coriander garlic ginger palak,aloo_palak
bhindi garlic onion turmeric,bhindi_masala
garam_masala garlic palak paneer,palak_paneer
garlic matar paneer turmeric,matar_paneer
coriander cumin ginger rajma urad_dal,dal_makhani
butter chili cumin garlic ginger paneer tomato,paneer_butter_masala
butter chili ginger onion paneer turmeric,paneer_tikka_masala
butter chicken coriander cumin onion,butter_chicken
basmati_rice coriander ginger mint mutton,mutton_biryani
bay_leaf chicken garam_masala garlic,chicken_curry
chili cumin ghee ginger oil toor_dal,dal_tadka
cumin ghee ginger masoor_dal oil turmeric,masoor_dal
asafoetida moong_dal onion,moong_dal
coriander cumin onion tomato yogurt,raita
basmati_rice cardamom cumin garlic ginger,vegetable_pulao
basmati_rice bay_leaf chicken garlic ginger turmeric,chicken_pulao
cumin ginger moong_dal rice turmeric,khichdi
coriander cream cumin garlic rajma tomato urad_dal,dal_makhani
aloo besan chili garlic oil pav,vada_pav
cardamom chicken ghee,korma
chili_sauce egg ginger oil pepper rice,egg_fried_rice
cumin onion peanut poha potato,poha
aloo amchur maida oil,samosa
butter capsicum coriander pav pav_bhaji_masala potato,pav_bhaji
capsicum curry_leaves ghee mustard_seeds oil semolina,upma
egg onion tomato turmeric,omelette
butter maggi_noodles masala onion pepper turmeric,maggi
aloo bread cheese coriander cumin onion,aloo_sandwich
besan coriander oil onion paneer turmeric,pakora
curry_leaves fenugreek mustard_seeds oil rice urad_dal,idli
amchur chickpea garam_masala garlic maida oil,chole_bhature
aloo butter chili ghee ginger wheat_flour,aloo_paratha
amchur butter coriander gobi wheat_flour,gobi_paratha
chicken garam_masala tomato yogurt,chicken_tikka_masala
butter cumin ghee methi turmeric wheat_flour yogurt,methi_paratha
besan chili fenugreek_seeds ghee yogurt,kadhi_pakora
cardamom cashew milk raisin semolina sugar,halwa
cardamom cashew milk raisin rice sugar,kheer
ajwain butter ghee gobi onion wheat_flour,gobi_paratha
aloo ghee ginger turmeric yogurt,dahi_aloo
beans carrot chili corn ginger peas tomato,mixed_vegetable
cardamom ghee khoya maida rose_water saffron sugar,gulab_jamun
cardamom milk pistachio raisin rice saffron sugar,kheer
asafoetida cumin onion toor_dal,dal_fry
coconut_milk curry_leaves fish mustard_seeds onion,fish_curry
coconut_milk cumin ginger prawn tomato turmeric,prawn_masala
asafoetida besan oil sugar yogurt,dhokla
aloo chili ginger oil onion spinach,saag_aloo
asafoetida chili cumin ginger maida moong_dal oil,kachori
cumin lauki oil onion turmeric,lauki_sabzi
butter chili methi wheat_flour,methi_paratha
basmati_rice chili garam_masala garlic onion yogurt,biryani
cardamom chili cream paneer yogurt,shahi_paneer
chana_masala_powder chickpea oil onion tomato turmeric,chana_masala
aloo amchur bhindi coriander garlic onion,aloo_bhindi
chili ginger kasuri_methi mushroom tomato,mushroom_masala
coriander ginger matar minced_meat oil,keema_matar
coriander egg tomato turmeric,egg_curry
basmati_rice chili clove garlic mint,vegetable_biryani
cumin curry_leaves ghee ginger moong_dal tomato,tarka_dal
butter chili cumin garlic tomato,tomato_soup
capsicum chili cumin paneer,paneer_bhurji
cardamom milk pistachio rice saffron sugar,kheer
aloo cumin ghee methi turmeric,aloo_methi
aloo gobi kasuri_methi oil turmeric,aloo_gobi
aloo amchur butter cumin matar oil,aloo_matar
cardamom milk pistachio rice sugar,kheer
aloo amchur ghee ginger matar,aloo_matar
aloo butter cumin ginger onion palak,aloo_palak
basmati_rice coriander garlic ginger mutton,mutton_biryani
bay_leaf chicken cumin ginger tomato yogurt,chicken_curry
bhindi garam_masala tomato,bhindi_masala
baingan cumin ginger turmeric,baingan_bharta
coriander ghee ginger oil palak paneer,palak_paneer
chili cream cumin ginger paneer tomato,paneer_butter_masala
butter cream garam_masala paneer,paneer_tikka_masala
garam_masala garlic matar paneer tomato,matar_paneer
butter chicken cream garlic kasuri_methi,butter_chicken
basmati_rice cardamom chicken coriander garlic ghee rice,chicken_biryani
butter cashew coriander cream paneer tomato,paneer_butter_masala
cardamom chili ginger mutton onion,mutton_curry
aloo chili garam_masala ginger maida,samosa
coriander ginger matar onion paneer,matar_paneer
cumin egg oil,egg_curry
coriander onion toor_dal,dal_tadka
asafoetida cumin ghee ginger masoor_dal,masoor_dal
coriander moong_dal oil,moong_dal
butter cardamom chili cream onion paneer,shahi_paneer
butter capsicum cumin garlic pav potato,pav_bhaji
basmati_rice bay_leaf cumin ghee,vegetable_pulao
basmati_rice bay_leaf chicken cumin garlic ghee,chicken_pulao
capsicum egg onion pepper tomato,omelette
garam_masala ginger moong_dal rice,khichdi
egg ginger rice soy_sauce vinegar,egg_fried_rice
onion pepper rice spring_onion,vegetable_fried_rice
curry_leaves oil peanut poha potato,poha
asafoetida curry_leaves peas semolina urad_dal,upma
cumin egg garam_masala ginger,anda_bhurji
ajwain aloo amchur ghee wheat_flour,aloo_paratha
butter coriander onion pav pav_bhaji_masala potato,pav_bhaji
basmati_rice chicken coriander ghee rice,chicken_biryani
coconut_milk cumin fish garlic oil,fish_curry
butter chili garlic maggi_noodles masala oil pepper,maggi
chili coriander ginger maida moong_dal oil,kachori
basmati_rice chicken cinnamon garlic oil,chicken_pulao
aloo bread chaat_masala cheese cumin onion tomato,aloo_sandwich
bread carrot chaat_masala chili cucumber,vegetable_sandwich
ajwain besan onion spinach,pakora
chili curry_leaves ghee oil rice urad_dal,dosa
chili mustard_seeds oil rice urad_dal,idli
aloo besan garlic ginger oil pav turmeric,vada_pav
amchur chickpea maida oil onion tomato,chole_bhature
butter cumin ghee onion paneer wheat_flour,paneer_paratha
beans curry_leaves ginger oil onion semolina,upma
besan mustard_seeds oil yogurt,kadhi_pakora
almond cardamom semolina sugar,halwa
cardamom khoya maida rose_water saffron sugar,gulab_jamun
chaat_masala chili cucumber onion tomato yogurt,raita
onion toor_dal turmeric,dal_fry
coconut_milk curry_leaves prawn,prawn_masala
aloo besan chili oil onion,aloo_tikki
besan chili lemon oil yogurt,dhokla
basmati_rice cardamom chili ginger,biryani
cashew chicken coriander yogurt,korma
aloo cumin garam_masala oil onion spinach,saag_aloo
chickpea chili oil,chana_masala
aloo bhindi cumin ginger oil onion turmeric,aloo_bhindi
beans carrot pepper rice vinegar,vegetable_fried_rice
coriander cumin ghee toor_dal,dal_fry
aloo bhindi oil turmeric,aloo_bhindi
beans carrot coriander garam_masala oil onion peas,mixed_vegetable
chili onion paneer turmeric,paneer_bhurji
chili garlic mushroom onion,mushroom_masala
coriander garam_masala ginger matar minced_meat oil tomato,keema_matar
basmati_rice bay_leaf capsicum coriander ghee ginger yogurt,vegetable_biryani
curry_leaves ghee moong_dal oil tomato turmeric,tarka_dal
butter cumin pepper tomato,tomato_soup
aloo cumin garlic ginger methi onion,aloo_methi
aloo asafoetida garlic ghee ginger yogurt,dahi_aloo
aloo chili gobi onion,aloo_gobi
aloo chili garlic palak,aloo_palak
ajwain amchur bhindi garlic ginger,bhindi_masala
coriander cumin garlic ghee lauki,lauki_sabzi
baingan chili cumin ginger oil onion,baingan_bharta
ghee onion palak paneer turmeric,palak_paneer
basmati_rice coriander ginger mint,biryani
garlic ginger kasuri_methi onion paneer,paneer_tikka_masala
butter cashew chicken kasuri_methi tomato turmeric,butter_chicken
chicken chili onion tomato,chicken_tikka_masala
aloo coriander garam_masala ghee onion spinach,saag_aloo
cardamom ghee mutton oil onion turmeric,mutton_curry
basmati_rice garam_masala garlic mint mutton yogurt,mutton_biryani
mustard_seeds tomato toor_dal,dal_tadka
garam_masala ginger oil onion prawn,prawn_masala
garam_masala ginger kasuri_methi onion rajma urad_dal,dal_makhani
asafoetida garlic masoor_dal mustard_seeds oil,masoor_dal
asafoetida garam_masala ghee ginger moong_dal onion,moong_dal
basmati_rice cardamom garlic ghee ginger pepper,vegetable_pulao
butter chili ginger pav potato,pav_bhaji
garam_masala ginger moong_dal oil onion rice,khichdi
egg onion rice soy_sauce spring_onion,egg_fried_rice
chili cumin onion peanut poha potato,poha
amchur chickpea cumin garlic onion tomato,chana_masala
cashew chili curry_leaves onion semolina,upma
butter chili egg oil turmeric,omelette
garam_masala kasuri_methi onion rajma urad_dal,dal_makhani
basmati_rice chicken cumin oil onion turmeric,chicken_pulao
besan coriander paneer,pakora
capsicum coriander egg garam_masala,anda_bhurji
carrot maggi_noodles masala oil pepper tomato,maggi
aloo bread butter chili,aloo_sandwich
bread butter chaat_masala cheese chili,vegetable_sandwich
baingan coriander ginger tomato turmeric,baingan_bharta
aloo coriander cumin maida oil onion,samosa
curry_leaves fenugreek ghee rice urad_dal,dosa
curry_leaves fenugreek oil rice urad_dal,idli
aloo besan chili garlic ginger oil pav,vada_pav
chickpea garam_masala ginger maida onion yogurt,chole_bhature
aloo amchur butter ghee ginger wheat_flour,aloo_paratha
egg garlic ginger onion pepper rice soy_sauce,egg_fried_rice
butter cumin ghee ginger paneer wheat_flour,paneer_paratha
butter garam_masala ginger gobi onion wheat_flour,gobi_paratha
ajwain butter cumin methi oil wheat_flour yogurt,methi_paratha
basmati_rice carrot cumin ginger onion pepper,vegetable_pulao
asafoetida besan fenugreek_seeds oil yogurt,kadhi_pakora
cumin onion tomato yogurt,raita
cardamom raisin semolina sugar,halwa
asafoetida garlic ghee moong_dal oil,tarka_dal
cardamom khoya maida saffron sugar,gulab_jamun
coconut_milk coriander fish ginger onion,fish_curry
aloo besan chaat_masala ginger oil,aloo_tikki
asafoetida besan chili oil yogurt,dhokla
cumin garlic mushroom oil,mushroom_masala
asafoetida chili fennel ginger maida moong_dal oil,kachori
chicken garam_masala garlic ghee,korma
cardamom cream garlic onion paneer tomato,shahi_paneer
beans carrot chili garam_masala onion peas,mixed_vegetable
chili garlic moong_dal,moong_dal
coriander garlic matar minced_meat,keema_matar
egg garam_masala garlic oil onion,egg_curry
cashew chicken chili cumin onion yogurt,korma
basmati_rice cauliflower chili ginger onion yogurt,vegetable_biryani
cream cumin garlic onion tomato,tomato_soup
butter coriander garlic paneer,paneer_bhurji
aloo garlic ginger methi onion turmeric,aloo_methi
chili fenugreek mustard_seeds oil rice urad_dal,idli
aloo cumin garlic ghee ginger mustard_seeds yogurt,dahi_aloo
asafoetida ghee masoor_dal oil onion turmeric,masoor_dal
cashew chicken chili cream yogurt,korma
ajwain aloo ginger gobi kasuri_methi oil onion,aloo_gobi
aloo garam_masala ghee matar oil tomato,aloo_matar
aloo garam_masala ginger kasuri_methi palak,aloo_palak
bhindi garam_masala garlic ginger onion,bhindi_masala
basmati_rice cardamom cinnamon garlic ghee potato,vegetable_pulao
garlic ghee lauki turmeric,lauki_sabzi
garam_masala garlic ghee ginger kasuri_methi palak paneer,palak_paneer
butter cashew cream kasuri_methi paneer tomato,paneer_butter_masala
onion paneer turmeric,paneer_tikka_masala
cumin garam_masala ghee matar onion paneer,matar_paneer
butter methi turmeric wheat_flour,methi_paratha
chicken cumin garam_masala ginger onion,chicken_curry
butter cashew chicken coriander ginger tomato,butter_chicken
chicken cream tomato turmeric yogurt,chicken_tikka_masala
basmati_rice chicken coriander ghee rice turmeric yogurt,chicken_biryani
cardamom cumin garlic mutton,mutton_curry
basmati_rice clove garlic ghee oil pepper,vegetable_pulao
basmati_rice ghee mint mutton saffron,mutton_biryani
amchur baingan chili oil tomato,baingan_bharta
coriander garlic tomato toor_dal,dal_tadka
chili ginger onion semolina urad_dal,upma
ginger moong_dal rice turmeric,khichdi
coriander oil onion toor_dal,dal_fry
onion rice vinegar,vegetable_fried_rice
basmati_rice chicken cumin garlic ghee ginger turmeric,chicken_pulao
egg garlic ginger pepper rice,egg_fried_rice
coriander garlic kasuri_methi paneer yogurt,paneer_tikka_masala
onion peanut poha potato turmeric,poha
butter egg onion tomato turmeric,omelette
cumin egg garam_masala ginger onion,anda_bhurji
chicken garam_masala ginger,chicken_curry
chili ginger maggi_noodles masala oil pepper tomato,maggi
aloo bread chaat_masala cheese onion tomato,aloo_sandwich
bread chili tomato,vegetable_sandwich
aloo amchur ginger maida oil onion,samosa
cumin ghee oil toor_dal turmeric,dal_tadka
butter capsicum coriander egg onion pepper,omelette
aloo amchur ghee ginger onion wheat_flour,aloo_paratha
ajwain besan cauliflower oil spinach turmeric,pakora
ghee mustard_seeds oil rice urad_dal,dosa
ghee matar paneer turmeric,matar_paneer
aloo besan curry_leaves garlic ginger oil pav,vada_pav
anardana chickpea ginger maida,chole_bhature
ajwain butter paneer wheat_flour,paneer_paratha
butter chili ginger gobi onion wheat_flour,gobi_paratha
basmati_rice bay_leaf chicken ghee ginger onion,chicken_pulao
besan ghee mustard_seeds oil turmeric yogurt,kadhi_pakora
almond cardamom cashew ghee semolina sugar,halwa
capsicum egg rice soy_sauce,egg_fried_rice
aloo butter chili gobi kasuri_methi oil onion,aloo_gobi
asafoetida besan curry_leaves lemon sugar yogurt,dhokla
almond cardamom cashew milk rice saffron sugar,kheer
basmati_rice chili ghee,vegetable_biryani
carrot chili ginger onion semolina,upma
butter egg turmeric,anda_bhurji
chickpea coriander ginger onion turmeric,chana_masala
chickpea coriander garam_masala garlic ginger maida onion,chole_bhature
butter chili garlic paneer yogurt,paneer_tikka_masala
coriander cream garlic onion rajma urad_dal,dal_makhani
asafoetida besan ginger mustard_seeds onion yogurt,kadhi_pakora
capsicum garam_masala garlic ginger kasuri_methi paneer,paneer_bhurji
coriander cucumber yogurt,raita
