ingredients,dish
mustard_oil oil potato salt spices,aloo_fry
green_chilli oil potato salt,aloo_fry
garlic ginger oil potato salt,aloo_fry
butter oil potato salt turmeric,aloo_fry
butter green_chilli oil onion potato spices,aloo_sabzi
oil onion potato salt spices,aloo_sabzi
oil potato spices tomato,aloo_sabzi
mustard_oil oil onion potato spices,aloo_sabzi
cumin oil potato spices tomato turmeric,aloo_sabzi
garlic oil potato spices tomato,aloo_sabzi
mustard_oil oil potato salt spices tomato,aloo_sabzi
butter garlic oil onion potato spices,aloo_sabzi
ginger green_chilli oil onion potato spices,aloo_sabzi
oil potato salt spices tomato,aloo_sabzi
green_chilli oil onion potato spices turmeric,aloo_sabzi
boiled_potato mustard_oil oil salt,aloo_chokha
boiled_potato mustard_oil salt turmeric,aloo_chokha
cumin green_chilli mustard_oil potato,aloo_chokha
garlic green_chilli mustard_oil potato salt,aloo_chokha
green_chilli mustard_oil potato tomato,aloo_chokha
green_chilli mustard_oil oil potato,aloo_chokha
butter ginger green_chilli mustard_oil potato turmeric,aloo_chokha
boiled_potato garlic mustard_oil onion salt turmeric,aloo_chokha
boiled_potato mustard_oil onion salt spices,aloo_chokha
boiled_potato cumin mustard_oil onion salt,aloo_chokha
lentil rice salt,khichdi
green_chilli lentil rice spices turmeric,khichdi
ginger lentil mustard_oil rice salt,khichdi
garlic lentil mustard_oil rice salt turmeric,khichdi
lentil rice spices tomato turmeric,khichdi
green_chilli lentil onion rice salt,khichdi
butter lentil oil rice turmeric,khichdi
lentil mustard_oil onion rice turmeric,khichdi
garlic ginger lentil rice spices turmeric,khichdi
butter lentil mustard_oil rice salt,khichdi
rice soy_sauce vegetables,fried_rice
garlic green_chilli rice soy_sauce vegetables,fried_rice
egg rice soy_sauce turmeric,fried_rice
mustard_oil onion rice soy_sauce vegetables,fried_rice
butter egg ginger rice soy_sauce,fried_rice
egg onion rice soy_sauce,fried_rice
green_chilli oil rice salt soy_sauce vegetables,fried_rice
mustard_oil rice soy_sauce turmeric vegetables,fried_rice
garlic rice soy_sauce tomato vegetables,fried_rice
egg rice soy_sauce spices tomato,fried_rice
cumin ginger rice salt water,plain_rice
rice spices water,plain_rice
rice salt spices turmeric water,plain_rice
oil rice turmeric water,plain_rice
garlic onion rice salt spices water,plain_rice
ginger mustard_oil rice water,plain_rice
butter oil rice salt water,plain_rice
garlic ginger rice turmeric water,plain_rice
mustard_oil onion rice salt tomato water,plain_rice
green_chilli onion rice salt water,plain_rice
cumin garlic lentil,dal_tadka
lentil onion salt spices,dal_tadka
butter cumin garlic lentil oil turmeric,dal_tadka
cumin garlic lentil mustard_oil,dal_tadka
green_chilli lentil mustard_oil onion spices tomato,dal_tadka
ginger lentil onion spices,dal_tadka
cumin garlic lentil mustard_oil oil spices,dal_tadka
butter lentil oil onion spices tomato,dal_tadka
cumin garlic ginger lentil onion salt,dal_tadka
ginger green_chilli lentil onion spices turmeric,dal_tadka
water wheat_flour,roti
onion water wheat_flour,roti
salt water wheat_flour,roti
garlic salt turmeric water wheat_flour,roti
cumin ginger onion water wheat_flour,roti
butter tomato water wheat_flour,roti
mustard_oil salt water wheat_flour,roti
green_chilli onion salt spices water wheat_flour,roti
garlic mustard_oil salt tomato water wheat_flour,roti
ginger spices tomato water wheat_flour,roti
ginger oil salt semolina water,upma
green_chilli salt semolina water,upma
semolina spices vegetables,upma
green_chilli salt semolina tomato water,upma
garlic onion semolina spices vegetables,upma
butter mustard_oil semolina spices turmeric vegetables,upma
cumin garlic salt semolina spices water,upma
onion semolina spices turmeric vegetables,upma
ginger green_chilli semolina spices turmeric vegetables,upma
mustard_oil onion semolina spices vegetables,upma
